,,,
2758,1000,1000,999
2768,1000,1000,999
2779,1000,1000,999
2790,997,1000,999
2800,996,999,999
2811,997,998,999
2822,999,998,999
2833,999,997,999
2843,999,997,999
2853,999,997,999
2864,1001,998,998
2876,996,998,998
2887,997,999,998
2898,998,999,998
2909,999,999,998
2919,998,997,997
2930,994,996,997
2942,992,994,997
2954,991,993,996
2964,989,992,996
2975,990,993,996
2987,993,994,995
2998,994,995,995
3009,994,995,995
3019,994,994,994
3030,994,993,994
3040,992,992,993
3050,989,990,993
3060,986,988,993
3070,986,988,992
3083,986,989,991
3093,988,989,991
3103,989,991,991
3113,991,992,990
3124,994,991,990
3134,991,990,990
3145,987,989,989
3155,987,987,989
3166,986,986,988
3176,984,985,988
3186,982,986,988
3196,985,987,987
3208,988,989,987
3218,990,989,987
3228,991,989,987
3238,990,989,986
3249,989,987,986
3259,987,985,986
3269,985,984,986
3280,984,984,986
3291,984,985,986
3301,986,986,986
3311,988,987,986
3321,990,989,986
3332,992,990,986
3343,993,989,986
3353,990,988,986
3363,989,987,986
3374,989,986,986
3384,987,986,986
3394,984,986,986
3405,988,988,986
3416,991,989,987
3426,993,991,987
3436,994,992,987
3446,995,992,988
3457,995,992,988
3467,994,990,989
3478,992,989,989
3488,990,989,989
3499,991,990,990
3509,993,991,990
3519,994,992,990
3529,996,994,991
3540,998,996,991
3551,1000,996,991
3561,995,996,992
3571,997,995,992
3581,999,994,992
3592,1000,993,993
3602,995,994,994
3613,998,995,994
3623,999,996,994
3634,1000,998,995
3644,996,999,995
3654,998,999,995
3664,999,999,995
3676,999,998,996
3686,1000,998,997
3696,998,997,997
3706,998,997,997
3717,999,998,998
3727,1001,999,998
3737,999,1000,998
3748,997,1000,998
3760,998,1000,998
3770,1000,1000,999
3780,1002,1000,999
3790,1001,1000,999
3802,998,1000,999
3813,998,1000,999
3823,998,1000,999
3833,1000,1000,999
3845,998,1000,999
3855,995,1000,999
3865,996,999,999
3876,998,998,999
3887,998,997,999
3898,998,997,999
3908,999,996,999
3918,1000,996,999
3929,995,997,999
3941,995,997,999
3951,997,998,998
3961,998,998,998
3972,998,997,998
3983,997,996,998
3994,994,994,997
4006,992,993,997
4017,990,992,997
4027,988,992,996
4037,990,993,996
4048,992,993,995
4059,992,995,995
4069,993,995,995
4080,994,994,994
4090,994,993,994
4101,990,991,993
4111,988,989,993
4121,987,988,993
4132,986,987,992
4144,986,988,992
4154,987,989,991
4164,989,990,991
4174,991,991,990
4185,993,990,990
4195,990,990,990
4206,988,988,989
4216,988,986,989
4227,985,985,989
4237,984,985,988
4247,982,985,988
4257,986,986,988
4268,988,987,987
4279,989,988,987
4289,991,989,987
4299,991,988,987
4310,990,987,987
4320,986,985,987
4330,986,984,986
4341,986,984,986
4352,983,984,986
4362,985,986,986
4372,988,988,986
4382,992,989,986
4392,992,989,986
4403,993,989,986
4414,990,989,986
4424,990,987,986
4434,989,986,986
4445,987,987,986
4455,986,987,987
4465,990,988,987
4476,992,990,987
4487,993,992,987
4497,994,992,987
4507,996,992,988
4517,997,991,988
4528,994,990,989
4539,992,989,989
4549,992,989,989
4559,992,990,989
4570,993,992,990
4580,995,994,990
4590,997,995,991
4600,999,996,991
4612,999,997,992
4622,999,996,992
4632,999,995,992
4642,998,994,993
4653,995,994,993
4663,995,995,994
4674,997,995,994
4684,999,997,995
4695,1000,998,995
4705,996,1000,995
4715,998,1000,996
4725,999,1000,996
4737,999,1000,996
4747,1001,999,997
4757,997,998,997
4767,998,999,997
4777,999,999,998
4788,1000,999,998
4798,1001,1000,998
4809,1001,1000,998
